국가,시작IP,끝IP,PREFIX,할당일자
KR,175.45.160.0,175.45.167.255,/21,2009.12.18
KR,180.150.192.0,180.150.223.255,/19,2009.09.07
KR,180.150.224.0,180.150.231.255,/21,2009.09.09
KR,180.182.0.0,180.182.255.255,/16,2009.09.15
KR,182.161.96.0,182.161.127.255,/19,2010.04.09
KR,182.161.128.0,182.161.255.255,/17,2010.04.06
KR,182.162.0.0,182.162.255.255,/16,2010.04.06
KR,182.163.128.0,182.163.255.255,/17,2010.04.07
KR,192.5.90.0,192.5.90.255,/24,1989.01.05
KR,192.132.247.0,192.132.247.255,/24,1991.11.26
KR,122.128.32.0,122.128.63.255,/19,2006.12.13
KR,122.128.64.0,122.128.79.255,/20,2006.12.13
KR,122.128.128.0,122.128.191.255,/18,2006.12.13
KR,122.128.192.0,122.128.255.255,/18,2006.12.15
KR,122.129.208.0,122.129.215.255,/21,2006.12.21
KR,122.129.240.0,122.129.247.255,/21,2006.12.27
KR,122.129.248.0,122.129.255.255,/21,2007.03.23
KR,123.140.0.0,123.143.255.255,/14,2007.02.22
KR,123.199.0.0,123.199.127.255,/17,2006.11.10
KR,123.200.64.0,123.200.127.255,/18,2006.10.12
KR,123.212.0.0,123.215.255.255,/14,2007.02.09
KR,123.228.0.0,123.229.255.255,/15,2007.02.13
KR,124.194.0.0,124.194.255.255,/16,2006.04.04
KR,124.195.160.0,124.195.191.255,/19,2008.04.17
KR,124.195.224.0,124.195.255.255,/19,2008.04.18
KR,124.197.128.0,124.197.191.255,/18,2006.04.18
KR,124.197.192.0,124.197.223.255,/19,2006.04.18
KR,124.198.0.0,124.198.127.255,/17,2006.04.18
KR,124.199.0.0,124.199.63.255,/18,2006.01.27
KR,124.199.128.0,124.199.255.255,/17,2005.12.28
KR,124.216.0.0,124.216.255.255,/16,2006.04.18
KR,128.134.0.0,128.134.255.255,/16,1986.06.30
KR,129.254.0.0,129.254.255.255,/16,1988.04.08
KR,141.223.0.0,141.223.255.255,/16,1990.08.03
KR,150.242.132.0,150.242.135.255,/22,2014.07.04
KR,150.242.144.0,150.242.147.255,/22,2014.07.04
KR,157.197.0.0,157.197.255.255,/16,1992.03.24
KR,161.122.0.0,161.122.255.255,/16,1992.07.14
KR,163.229.0.0,163.229.255.255,/16,2011.04.05
KR,163.239.0.0,163.239.255.255,/16,1992.09.15
KR,163.255.0.0,163.255.255.255,/16,2011.04.05
KR,164.124.0.0,164.124.255.255,/16,1993.03.01
KR,164.125.0.0,164.125.255.255,/16,1993.02.11
KR,165.132.0.0,165.132.255.255,/16,1993.06.07
KR,165.133.0.0,165.133.255.255,/16,1993.06.08
KR,165.186.0.0,165.186.255.255,/16,1996.08.20
KR,165.194.0.0,165.194.255.255,/16,1993.08.12
KR,175.107.64.0,175.107.127.255,/18,2010.01.12
KR,175.111.16.0,175.111.31.255,/20,2010.01.13
KR,175.112.0.0,175.127.255.255,/12,2009.12.17
KR,175.158.0.0,175.158.31.255,/19,2010.01.18
KR,175.176.128.0,175.176.143.255,/20,2010.01.20
KR,180.189.64.0,180.189.127.255,/18,2009.09.17
KR,180.189.176.0,180.189.191.255,/20,2009.09.23
KR,180.210.192.0,180.210.199.255,/21,2009.09.28
KR,180.211.0.0,180.211.63.255,/18,2009.09.30
KR,182.172.0.0,182.172.255.255,/16,2010.04.09
KR,182.173.80.0,182.173.95.255,/20,2010.04.13
KR,182.173.96.0,182.173.127.255,/19,2010.04.13
KR,182.192.0.0,182.199.255.255,/13,2010.04.14
KR,182.208.0.0,182.223.255.255,/12,2010.04.22
KR,182.224.0.0,182.231.255.255,/13,2010.04.22
KR,182.237.32.0,182.237.63.255,/19,2010.05.04
KR,182.237.64.0,182.237.127.255,/18,2010.05.04
KR,182.237.192.0,182.237.255.255,/18,2010.05.05
KR,121.64.0.0,121.67.255.255,/14,2006.06.09
KR,121.78.0.0,121.78.255.255,/16,2006.06.20
KR,121.88.0.0,121.88.255.255,/16,2006.06.26
KR,121.100.64.0,121.100.127.255,/18,2006.07.11
KR,121.101.192.0,121.101.207.255,/20,2007.11.19
KR,121.101.224.0,121.101.255.255,/19,2007.11.20
KR,121.124.0.0,121.125.255.255,/15,2006.08.02
KR,121.126.0.0,121.126.255.255,/16,2006.07.06
KR,122.152.96.0,122.152.127.255,/19,2010.12.30
KR,122.153.0.0,122.153.255.255,/16,2007.01.15
KR,122.199.64.0,122.199.127.255,/18,2006.06.07
KR,122.199.128.0,122.199.255.255,/17,2006.06.06
KR,122.202.32.0,122.202.63.255,/19,2006.11.06
KR,122.202.128.0,122.202.255.255,/17,2006.11.06
KR,122.203.0.0,122.203.255.255,/16,2006.11.06
KR,123.248.0.0,123.248.255.255,/16,2007.01.25
KR,123.250.0.0,123.251.255.255,/15,2007.01.29
KR,123.254.64.0,123.254.95.255,/19,2006.11.21
KR,123.254.128.0,123.254.255.255,/17,2006.06.19
KR,124.0.0.0,124.1.255.255,/15,2005.11.04
KR,124.2.0.0,124.2.255.255,/16,2005.12.14
KR,124.3.0.0,124.3.255.255,/16,2007.02.12
KR,124.5.0.0,124.5.255.255,/16,2005.11.16
KR,124.28.0.0,124.28.127.255,/17,2006.01.03
KR,124.243.0.0,124.243.127.255,/17,2006.05.09
KR,124.254.128.0,124.254.255.255,/17,2005.12.30
KR,125.7.128.0,125.7.191.255,/18,2005.08.17
KR,125.7.192.0,125.7.255.255,/18,2005.08.17
KR,125.31.128.0,125.31.191.255,/18,2005.08.19
KR,202.150.176.0,202.150.191.255,/20,2005.08.08
KR,202.131.24.0,202.131.31.255,/21,2006.09.08
KR,202.133.16.0,202.133.31.255,/20,2005.03.24
KR,192.245.249.0,192.245.249.255,/24,1993.11.10
KR,192.245.250.0,192.245.250.255,/24,1992.11.27
KR,192.245.251.0,192.245.251.255,/24,1992.11.27
KR,202.20.82.0,202.20.82.255,/24,1993.08.26
KR,202.20.83.0,202.20.83.255,/24,1993.08.26
KR,202.20.86.0,202.20.86.255,/24,1993.08.26
KR,202.20.99.0,202.20.99.255,/24,1993.09.22
KR,202.20.119.0,202.20.119.255,/24,1993.10.06
KR,202.20.128.0,202.20.255.255,/17,1993.09.01
KR,202.21.0.0,202.21.7.255,/21,1993.09.01
KR,202.43.48.0,202.43.55.255,/21,2007.01.10
KR,202.43.56.0,202.43.63.255,/21,2008.02.26
KR,202.68.224.0,202.68.255.255,/19,2006.08.14
KR,202.93.6.0,202.93.7.255,/23,2006.08.30
KR,202.136.112.0,202.136.127.255,/20,2005.04.14
KR,202.136.128.0,202.136.159.255,/19,2005.11.04
KR,202.158.144.0,202.158.159.255,/20,2005.08.29
KR,192.195.39.0,192.195.39.255,/24,1992.07.15
KR,192.195.40.0,192.195.40.255,/24,1992.07.15
KR,192.249.16.0,192.249.23.255,/21,1992.11.12
KR,192.249.24.0,192.249.25.255,/23,1999.11.16
KR,192.249.26.0,192.249.27.255,/23,1992.11.12
KR,192.249.28.0,192.249.31.255,/22,1992.11.12
KR,198.148.192.0,198.148.195.255,/22,1993.08.02
KR,202.6.95.0,202.6.95.255,/24,1993.02.23
KR,202.22.32.0,202.22.63.255,/19,2006.08.09
KR,202.59.216.0,202.59.223.255,/21,2011.04.07
KR,202.86.8.0,202.86.15.255,/21,2005.01.31
KR,202.126.112.0,202.126.119.255,/21,2005.03.08
KR,202.128.100.0,202.128.101.255,/23,2010.04.19
KR,202.163.128.0,202.163.159.255,/19,2006.03.07
KR,202.165.56.0,202.165.59.255,/22,2007.11.22
KR,192.203.138.0,192.203.138.255,/24,1992.09.10
KR,192.203.139.0,192.203.139.255,/24,1992.09.10
KR,192.203.140.0,192.203.143.255,/22,1997.10.17
KR,192.203.144.0,192.203.144.255,/24,1992.09.10
KR,192.203.145.0,192.203.145.255,/24,1992.09.10
KR,192.203.146.0,192.203.146.255,/24,1992.09.10
KR,202.14.90.0,202.14.91.255,/23,2011.01.13
KR,202.14.103.0,202.14.103.255,/24,1993.06.11
KR,202.14.165.0,202.14.165.255,/24,1993.08.04
KR,202.47.143.0,202.47.143.255,/24,2006.09.04
KR,202.73.132.0,202.73.135.255,/22,2005.09.14
KR,202.89.124.0,202.89.127.255,/22,2009.04.01
KR,202.89.248.0,202.89.251.255,/22,2006.04.12
KR,202.3.16.0,202.3.31.255,/20,2011.04.01
KR,202.8.160.0,202.8.191.255,/19,2011.04.01
KR,203.17.226.0,203.17.226.255,/24,2007.10.12
KR,103.126.234.0,103.126.235.255,/23,2023.05.03
KR,202.171.248.0,202.171.251.255,/22,2006.10.11
KR,202.174.88.0,202.174.91.255,/22,2008.01.03
KR,202.179.176.0,202.179.183.255,/21,2005.11.01
KR,202.189.128.0,202.189.128.255,/24,2001.09.10
KR,203.207.16.0,203.207.31.255,/20,2006.05.29
KR,203.128.160.0,203.128.191.255,/19,2005.03.14
KR,203.128.192.0,203.128.223.255,/19,2005.03.14
KR,203.128.236.0,203.128.239.255,/22,2008.03.06
KR,203.129.6.0,203.129.7.255,/23,2007.05.17
KR,203.130.64.0,203.130.95.255,/19,2006.03.14
KR,203.130.96.0,203.130.127.255,/19,2005.03.29
KR,203.130.176.0,203.130.191.255,/20,2006.08.28
KR,203.152.160.0,203.152.191.255,/19,2005.08.04
KR,203.153.144.0,203.153.159.255,/20,2006.04.06
KR,203.175.32.0,203.175.63.255,/19,2005.11.15
KR,203.175.188.0,203.175.191.255,/22,2009.01.08
KR,218.101.128.0,218.101.255.255,/17,2004.08.05
KR,210.2.32.0,210.2.63.255,/19,2006.05.04
KR,210.4.88.0,210.4.95.255,/21,2007.09.21
KR,210.4.216.0,210.4.223.255,/21,2007.09.21
KR,210.57.224.0,210.57.255.255,/19,2006.06.13
KR,210.216.0.0,210.216.255.255,/16,1999.03.23
KR,210.218.128.0,210.218.191.255,/18,1999.03.23
KR,210.218.192.0,210.218.223.255,/19,1999.03.23
KR,210.218.224.0,210.218.255.255,/19,1999.03.23
KR,210.220.64.0,210.220.95.255,/19,1999.05.25
KR,210.220.96.0,210.220.127.255,/19,1999.05.25
KR,210.222.0.0,210.223.255.255,/15,1999.05.25
KR,223.222.0.0,223.222.255.255,/16,2010.07.21
KR,220.149.0.0,220.149.255.255,/16,2004.06.16
KR,221.138.0.0,221.139.255.255,/15,2003.05.30
KR,221.140.0.0,221.143.255.255,/14,2003.05.30
KR,221.144.0.0,221.159.255.255,/12,2003.04.17
KR,221.160.0.0,221.167.255.255,/13,2003.04.17
KR,221.168.0.0,221.168.255.255,/16,2003.04.17
KR,223.253.0.0,223.253.255.255,/16,2010.07.28
KR,203.82.219.0,203.82.219.255,/24,2008.02.01
KR,203.82.220.0,203.82.221.255,/23,2008.01.29
KR,203.82.240.0,203.82.247.255,/21,2005.06.01
KR,203.83.128.0,203.83.159.255,/19,2004.10.19
KR,203.100.160.0,203.100.191.255,/19,2005.01.25
KR,203.132.160.0,203.132.191.255,/19,2005.04.14
KR,203.133.160.0,203.133.191.255,/19,2006.07.12
KR,203.142.160.0,203.142.191.255,/19,2005.07.26
KR,203.142.216.0,203.142.217.255,/23,2008.03.06
KR,203.160.140.0,203.160.143.255,/22,2010.03.12
KR,203.210.16.0,203.210.31.255,/20,2006.05.31
KR,203.210.32.0,203.210.63.255,/19,2006.01.27
KR,203.212.96.0,203.212.127.255,/19,2006.02.02
KR,203.212.160.0,203.212.191.255,/19,2006.02.07
KR,210.16.192.0,210.16.255.255,/18,2005.02.15
KR,210.80.96.0,210.80.111.255,/20,2001.10.19
KR,210.80.112.0,210.80.127.255,/20,2002.10.31
KR,210.87.192.0,210.87.223.255,/19,2006.06.19
KR,210.89.160.0,210.89.191.255,/19,2006.06.23
KR,210.90.0.0,210.91.255.255,/15,1999.03.24
KR,211.32.0.0,211.32.255.255,/16,1999.08.27
KR,211.36.192.0,211.36.223.255,/19,1999.08.27
KR,211.36.224.0,211.36.255.255,/19,1999.08.27
KR,211.40.0.0,211.40.255.255,/16,1999.11.08
KR,211.42.0.0,211.42.127.255,/17,1999.11.18
KR,211.42.128.0,211.42.159.255,/19,1999.11.18
KR,211.42.160.0,211.42.191.255,/19,1999.11.18
KR,211.42.192.0,211.42.223.255,/19,1999.11.18
KR,211.42.224.0,211.42.255.255,/19,1999.11.18
KR,211.44.0.0,211.44.255.255,/16,1999.11.18
KR,211.45.128.0,211.45.191.255,/18,1999.11.18
KR,211.45.192.0,211.45.255.255,/18,1999.11.18
KR,211.50.0.0,211.50.255.255,/16,1999.11.18
KR,211.51.0.0,211.51.255.255,/16,1999.11.18
KR,211.53.0.0,211.53.255.255,/16,2000.02.16
KR,211.54.0.0,211.55.255.255,/15,2000.02.16
KR,211.60.0.0,211.60.255.255,/16,2000.02.16
KR,211.62.0.0,211.62.127.255,/17,2000.02.16
KR,211.62.128.0,211.62.255.255,/17,2000.02.16
KR,211.63.0.0,211.63.31.255,/19,2000.02.16
KR,211.63.32.0,211.63.63.255,/19,2000.02.16
KR,211.63.128.0,211.63.255.255,/17,2000.02.16
KR,211.116.0.0,211.116.63.255,/18,2000.04.14
KR,218.144.0.0,218.159.255.255,/12,2001.09.24
KR,218.209.0.0,218.209.255.255,/16,2005.07.14
KR,218.232.0.0,218.233.255.255,/15,2001.11.22
KR,218.234.0.0,218.235.255.255,/15,2002.04.30
KR,218.236.0.0,218.239.255.255,/14,2002.04.30
KR,220.230.0.0,220.230.255.255,/16,2005.04.21
KR,222.96.0.0,222.111.255.255,/12,2003.10.27
KR,222.112.0.0,222.119.255.255,/13,2003.10.27
KR,222.120.0.0,222.121.255.255,/15,2003.10.27
KR,222.122.0.0,222.122.255.255,/16,2003.10.27
KR,203.84.240.0,203.84.255.255,/20,2006.01.24
KR,203.109.0.0,203.109.31.255,/19,2005.05.13
KR,203.166.208.0,203.166.215.255,/21,2006.12.21
KR,203.169.4.0,203.169.5.255,/23,2007.06.22
KR,210.92.0.0,210.92.63.255,/18,1998.09.15
KR,203.190.4.0,203.190.7.255,/22,2011.04.12
KR,203.190.26.0,203.190.27.255,/23,2008.05.15
KR,211.116.64.0,211.116.127.255,/18,2000.04.14
KR,203.215.192.0,203.215.223.255,/19,2006.04.07
KR,203.216.160.0,203.216.191.255,/19,2006.04.21
KR,203.217.192.0,203.217.255.255,/18,2006.08.09
KR,210.92.64.0,210.92.127.255,/18,1998.09.15
KR,210.92.128.0,210.92.255.255,/17,1998.09.15
KR,210.96.0.0,210.96.127.255,/17,1998.05.21
KR,210.96.128.0,210.96.255.255,/17,1998.05.21
KR,210.97.0.0,210.97.127.255,/17,1998.05.21
KR,210.98.128.0,210.98.191.255,/18,1998.03.23
KR,210.99.0.0,210.99.255.255,/16,1998.03.10
KR,210.100.0.0,210.100.255.255,/16,1997.12.06
KR,210.101.128.0,210.101.191.255,/18,1997.12.06
KR,210.102.0.0,210.102.31.255,/19,1997.12.06
KR,210.102.32.0,210.102.63.255,/19,1997.12.06
KR,210.102.128.0,210.102.255.255,/17,1997.12.06
KR,210.103.0.0,210.103.127.255,/17,1997.12.06
KR,210.103.128.0,210.103.191.255,/18,1997.12.06
KR,210.103.192.0,210.103.223.255,/19,1997.12.06
KR,210.103.224.0,210.103.255.255,/19,1997.11.18
KR,210.104.0.0,210.105.255.255,/15,1997.08.29
KR,210.106.128.0,210.106.191.255,/18,1997.08.29
KR,210.106.192.0,210.106.223.255,/19,1997.08.29
KR,210.106.224.0,210.106.255.255,/19,1997.08.29
KR,210.107.0.0,210.107.127.255,/17,1997.08.29
KR,210.107.128.0,210.107.255.255,/17,1997.08.29
KR,210.108.0.0,210.108.255.255,/16,1997.04.30
KR,210.109.0.0,210.109.255.255,/16,1997.04.30
KR,210.120.0.0,210.120.255.255,/16,1996.11.26
KR,210.124.0.0,210.124.255.255,/16,1996.07.18
KR,210.178.0.0,210.179.255.255,/15,1998.11.24
KR,210.180.0.0,210.180.31.255,/19,1998.11.24
KR,210.180.32.0,210.180.63.255,/19,1998.11.24
KR,210.180.128.0,210.180.191.255,/18,1998.11.24
KR,210.180.192.0,210.180.223.255,/19,1998.11.24
KR,210.180.224.0,210.180.255.255,/19,1998.11.24
KR,210.182.0.0,210.182.255.255,/16,1998.11.24
KR,210.183.0.0,210.183.255.255,/16,1998.11.24
KR,211.117.0.0,211.117.255.255,/16,2000.04.14
KR,211.176.0.0,211.179.255.255,/14,2000.05.26
KR,211.192.0.0,211.199.255.255,/13,2000.05.26
KR,211.200.0.0,211.200.255.255,/16,2000.08.17
KR,211.201.0.0,211.201.255.255,/16,2000.08.22
KR,211.202.0.0,211.203.255.255,/15,2000.08.22
KR,211.204.0.0,211.205.255.255,/15,2000.08.22
KR,211.206.0.0,211.206.255.255,/16,2000.12.22
KR,211.207.0.0,211.207.255.255,/16,2000.12.28
KR,211.208.0.0,211.211.255.255,/14,2000.12.28
KR,211.212.0.0,211.215.255.255,/14,2001.06.15
KR,211.216.0.0,211.216.255.255,/16,2000.09.01
KR,211.217.0.0,211.217.255.255,/16,2000.09.12
KR,211.218.0.0,211.219.255.255,/15,2000.09.12
KR,211.220.0.0,211.223.255.255,/14,2000.09.12
KR,211.224.0.0,211.225.255.255,/15,2000.09.12
KR,211.226.0.0,211.227.255.255,/15,2000.12.12
KR,211.228.0.0,211.231.255.255,/14,2000.12.12
KR,211.234.0.0,211.234.63.255,/18,2000.09.08
KR,211.234.64.0,211.234.95.255,/19,2000.09.08
KR,211.234.96.0,211.234.127.255,/19,2000.09.08
KR,211.252.0.0,211.253.255.255,/15,2000.09.08
KR,211.254.0.0,211.254.127.255,/17,2000.09.08
KR,211.254.128.0,211.254.191.255,/18,2000.09.08
KR,222.231.0.0,222.231.63.255,/18,2004.07.27
KR,222.232.0.0,222.239.255.255,/13,2004.04.02
KR,222.251.128.0,222.251.255.255,/17,2005.12.15
KR,223.26.128.0,223.26.255.255,/17,2010.08.19
KR,203.77.176.0,203.77.176.255,/24,2005.12.07
KR,203.90.32.0,203.90.63.255,/19,2004.11.30
KR,203.123.192.0,203.123.223.255,/19,2005.03.08
KR,203.149.112.0,203.149.127.255,/20,2007.01.24
KR,203.170.96.0,203.170.127.255,/19,2005.10.11
KR,203.171.160.0,203.171.191.255,/19,2005.10.12
KR,203.173.96.0,203.173.127.255,/19,2005.10.25
KR,203.223.96.0,203.223.127.255,/19,2006.04.27
KR,203.223.177.0,203.223.177.255,/24,2009.02.25
KR,203.224.0.0,203.224.255.255,/16,1995.08.25
KR,203.225.0.0,203.225.255.255,/16,1995.09.28
KR,203.233.0.0,203.233.127.255,/17,1996.02.16
KR,203.248.0.0,203.248.127.255,/17,1996.09.29
KR,203.248.128.0,203.248.255.255,/17,1996.09.29
KR,203.252.0.0,203.252.15.255,/20,1996.09.29
KR,203.252.32.0,203.252.63.255,/19,1996.09.29
KR,210.0.32.0,210.0.63.255,/19,2006.02.21
KR,210.192.64.0,210.192.95.255,/19,2006.07.03
KR,210.210.192.0,210.210.255.255,/18,2005.04.26
KR,210.211.0.0,210.211.15.255,/20,2010.12.30
KR,210.211.64.0,210.211.95.255,/19,2009.09.24
KR,218.48.0.0,218.49.255.255,/15,2001.06.15
KR,218.50.0.0,218.51.255.255,/15,2001.11.22
KR,218.52.0.0,218.55.255.255,/14,2001.11.22
KR,219.240.0.0,219.241.255.255,/15,2002.04.30
KR,220.72.0.0,220.79.255.255,/13,2002.08.29
KR,220.80.0.0,220.87.255.255,/13,2002.08.29
KR,220.88.0.0,220.91.255.255,/14,2002.08.29
KR,220.92.0.0,220.95.255.255,/14,2002.12.31
KR,220.103.0.0,220.103.255.255,/16,2004.06.09
KR,220.116.0.0,220.119.255.255,/14,2002.12.31
KR,220.120.0.0,220.127.255.255,/13,2002.12.31
KR,221.132.64.0,221.132.95.255,/19,2005.01.14
KR,221.133.128.0,221.133.191.255,/18,2005.02.24
KR,223.28.128.0,223.28.255.255,/17,2010.08.25
KR,223.32.0.0,223.63.255.255,/11,2010.08.17
KR,223.130.64.0,223.130.127.255,/18,2010.08.02
KR,223.131.0.0,223.131.255.255,/16,2010.07.14
KR,223.165.128.0,223.165.255.255,/17,2010.08.02
KR,223.168.0.0,223.175.255.255,/13,2010.07.19
KR,223.194.0.0,223.195.255.255,/15,2010.07.29
KR,203.81.8.0,203.81.11.255,/22,2007.01.12
KR,203.81.128.0,203.81.159.255,/19,2004.10.19
KR,202.167.208.0,202.167.211.255,/22,2005.09.27
KR,202.167.212.0,202.167.213.255,/23,2005.09.27
KR,202.167.214.0,202.167.214.255,/24,2005.09.27
KR,103.105.156.0,103.105.159.255,/22,2017.12.12
KR,103.105.160.0,103.105.163.255,/22,2017.12.12
KR,103.182.122.0,103.182.123.255,/23,2022.02.23
KR,103.182.126.0,103.182.127.255,/23,2022.02.23
KR,192.40.0.0,192.40.3.255,/22,2012.11.29
KR,103.182.250.0,103.182.251.255,/23,2022.03.02
KR,202.167.215.0,202.167.215.255,/24,2005.09.27
KR,202.167.216.0,202.167.223.255,/21,2005.09.27
KR,221.133.48.0,221.133.51.255,/22,2006.08.03
KR,221.133.52.0,221.133.53.255,/23,2006.08.03
KR,221.133.54.0,221.133.54.255,/24,2006.08.03
KR,221.133.55.0,221.133.55.255,/24,2006.08.03
KR,221.133.56.0,221.133.63.255,/21,2006.08.03
KR,120.73.0.0,120.73.127.255,/17,2008.03.27
KR,120.73.128.0,120.73.255.255,/17,2008.03.27
KR,103.178.34.0,103.178.35.255,/23,2021.12.16
KR,103.178.80.0,103.178.81.255,/23,2021.12.21
KR,103.187.34.0,103.187.35.255,/23,2022.05.09
KR,103.188.89.0,103.188.89.255,/24,2022.05.26
KR,103.187.108.0,103.187.109.255,/23,2022.05.13
KR,103.149.188.0,103.149.189.255,/23,2020.03.20
KR,103.54.72.0,103.54.75.255,/22,2015.04.02
KR,45.114.128.0,45.114.131.255,/22,2015.04.02
KR,103.141.190.0,103.141.191.255,/23,2022.08.16
KR,103.71.4.0,103.71.5.255,/23,2023.01.18
KR,103.42.60.0,103.42.61.255,/23,2022.11.24
KR,103.90.209.0,103.90.209.255,/24,2017.04.20
KR,103.90.244.0,103.90.247.255,/22,2017.04.20
KR,103.77.84.0,103.77.87.255,/22,2016.10.18
KR,103.78.132.0,103.78.133.255,/23,2016.11.03
KR,103.79.132.0,103.79.135.255,/22,2016.11.18
KR,103.140.12.0,103.140.13.255,/23,2019.06.14
KR,103.66.188.0,103.66.191.255,/22,2016.06.20
KR,103.66.192.0,103.66.195.255,/22,2016.06.20
KR,103.87.116.0,103.87.119.255,/22,2017.03.08
KR,103.219.124.0,103.219.127.255,/22,2016.05.18
KR,103.219.128.0,103.219.131.255,/22,2016.05.18
KR,45.250.204.0,45.250.207.255,/22,2016.05.18
KR,45.250.208.0,45.250.211.255,/22,2016.05.18
KR,45.250.220.0,45.250.223.255,/22,2016.05.18
KR,116.204.168.0,116.204.171.255,/22,2018.10.16
KR,103.74.0.0,103.74.3.255,/22,2016.09.02
KR,103.60.192.0,103.60.195.255,/22,2015.06.16
KR,103.68.96.0,103.68.99.255,/22,2016.07.01
KR,103.68.148.0,103.68.151.255,/22,2016.07.05
KR,103.68.152.0,103.68.155.255,/22,2016.07.05
KR,202.90.252.0,202.90.255.255,/22,2016.07.11
KR,91.240.89.0,91.240.89.255,/24,2019.11.12
KR,202.148.48.0,202.148.51.255,/22,2016.07.28
KR,103.246.172.0,103.246.175.255,/22,2016.06.29
KR,103.254.248.0,103.254.251.255,/22,2016.06.29
KR,103.85.80.0,103.85.83.255,/22,2017.02.07
KR,202.179.148.0,202.179.151.255,/22,2017.05.19
KR,103.104.176.0,103.104.176.255,/24,2022.12.01
KR,103.104.86.0,103.104.86.255,/24,2022.12.01
KR,210.16.116.0,210.16.119.255,/22,2016.01.22
KR,103.114.124.0,103.114.127.255,/22,2018.04.26
KR,103.114.62.0,103.114.62.255,/24,2018.04.26
KR,103.122.184.0,103.122.187.255,/22,2018.09.19
KR,43.229.0.0,43.229.3.255,/22,2015.01.13
KR,101.79.144.0,101.79.159.255,/20,2010.12.17
KR,101.79.160.0,101.79.175.255,/20,2010.12.17
KR,101.79.176.0,101.79.191.255,/20,2010.12.17
KR,101.79.192.0,101.79.207.255,/20,2010.12.17
KR,101.79.208.0,101.79.223.255,/20,2010.12.17
KR,101.79.224.0,101.79.239.255,/20,2010.12.17
KR,101.79.240.0,101.79.255.255,/20,2010.12.17
KR,106.10.0.0,106.10.31.255,/19,2011.04.11
KR,106.10.32.0,106.10.63.255,/19,2011.04.11
KR,106.10.64.0,106.10.127.255,/18,2011.04.11
KR,110.92.20.0,110.92.21.255,/23,2011.01.14
KR,110.92.22.0,110.92.22.255,/24,2011.01.14
KR,110.92.23.0,110.92.23.255,/24,2011.01.14
KR,110.93.128.0,110.93.143.255,/20,2009.04.22
KR,110.93.144.0,110.93.159.255,/20,2009.04.22
KR,110.93.160.0,110.93.191.255,/19,2009.04.22
KR,115.85.160.0,115.85.175.255,/20,2008.08.01
KR,115.85.176.0,115.85.191.255,/20,2008.08.01
KR,118.67.128.0,118.67.159.255,/19,2007.08.14
KR,118.67.160.0,118.67.191.255,/19,2007.08.14
KR,175.106.112.0,175.106.127.255,/20,2010.01.07
KR,175.106.64.0,175.106.95.255,/19,2010.01.07
KR,175.106.96.0,175.106.111.255,/20,2010.01.07
KR,175.45.192.0,175.45.223.255,/19,2009.12.21
KR,175.45.224.0,175.45.255.255,/19,2009.12.21
KR,182.173.160.0,182.173.175.255,/20,2010.04.16
KR,182.173.176.0,182.173.179.255,/22,2010.04.16
KR,182.173.180.0,182.173.183.255,/22,2010.04.16
KR,182.173.184.0,182.173.191.255,/21,2010.04.16
KR,211.233.128.0,211.233.143.255,/20,2000.09.08
KR,211.233.144.0,211.233.159.255,/20,2000.09.08
KR,211.56.0.0,211.56.15.255,/20,2000.02.16
KR,211.56.16.0,211.56.31.255,/20,2000.02.16
KR,223.130.128.0,223.130.191.255,/18,2010.07.29
KR,223.130.192.0,223.130.207.255,/20,2010.07.29
KR,223.130.208.0,223.130.223.255,/20,2010.07.29
KR,223.130.224.0,223.130.239.255,/20,2010.07.29
KR,223.130.240.0,223.130.255.255,/20,2010.07.29
KR,223.255.208.0,223.255.223.255,/20,2010.08.02
KR,27.96.128.0,27.96.135.255,/21,2010.05.19
KR,27.96.136.0,27.96.143.255,/21,2010.05.19
KR,27.96.144.0,27.96.159.255,/20,2010.05.19
KR,27.96.160.0,27.96.191.255,/19,2010.05.19
KR,49.143.128.0,49.143.159.255,/19,2010.11.10
KR,49.143.160.0,49.143.175.255,/20,2010.11.10
KR,49.143.176.0,49.143.179.255,/22,2010.11.10
KR,49.143.180.0,49.143.183.255,/22,2010.11.10
KR,49.143.184.0,49.143.185.255,/23,2010.11.10
KR,49.143.186.0,49.143.186.255,/24,2010.11.10
KR,49.143.187.0,49.143.187.255,/24,2010.11.10
KR,49.143.188.0,49.143.191.255,/22,2010.11.10
KR,49.143.192.0,49.143.207.255,/20,2010.11.12
KR,49.143.208.0,49.143.223.255,/20,2010.11.12
KR,49.236.128.0,49.236.131.255,/22,2010.11.30
KR,49.236.132.0,49.236.135.255,/22,2010.11.30
KR,49.236.136.0,49.236.143.255,/21,2010.11.30
KR,49.236.144.0,49.236.159.255,/20,2010.11.30
KR,49.236.160.0,49.236.167.255,/21,2010.11.30
KR,49.236.168.0,49.236.175.255,/21,2010.11.30
KR,49.236.176.0,49.236.191.255,/20,2010.11.30
KR,49.50.128.0,49.50.143.255,/20,2010.11.05
KR,49.50.144.0,49.50.159.255,/20,2010.11.05
KR,49.50.160.0,49.50.175.255,/20,2010.11.05
KR,49.50.176.0,49.50.191.255,/20,2010.11.05
KR,103.133.240.0,103.133.241.255,/23,2019.01.31
KR,103.139.84.0,103.139.85.255,/23,2019.05.17
KR,103.54.60.0,103.54.63.255,/22,2015.03.31
